0.00	0.00
0.13	0.13
0.25	0.25
0.38	0.37
0.50	0.48
0.63	0.59
0.75	0.68
0.88	0.77
1.01	0.84
1.13	0.90
1.26	0.95
1.38	0.98
1.51	1.00
1.63	1.00
1.76	0.98
1.88	0.95
2.01	0.90
2.14	0.84
2.26	0.77
2.39	0.68
2.51	0.59
2.64	0.48
2.76	0.37
2.89	0.25
3.02	0.13
3.14	-0.00
3.27	-0.13
3.39	-0.25
3.52	-0.37
3.64	-0.48
3.77	-0.59
3.90	-0.68
4.02	-0.77
4.15	-0.84
4.27	-0.90
4.40	-0.95
4.52	-0.98
4.65	-1.00
4.78	-1.00
4.90	-0.98
5.03	-0.95
5.15	-0.90
5.28	-0.84
5.40	-0.77
5.53	-0.68
5.65	-0.59
5.78	-0.48
5.91	-0.37
6.03	-0.25
6.16	-0.13
