0.00	1.00
0.00	0.00
0.00	1.00
0.13	0.99
0.13	0.13
0.13	1.12
0.25	0.97
0.25	0.25
0.25	1.22
0.38	0.93
0.38	0.37
0.38	1.30
0.50	0.88
0.50	0.48
0.50	1.36
0.63	0.81
0.63	0.59
0.63	1.40
0.75	0.73
0.75	0.68
0.75	1.41
0.88	0.64
0.88	0.77
0.88	1.41
1.01	0.54
1.01	0.84
1.01	1.38
1.13	0.43
1.13	0.90
1.13	1.33
1.26	0.31
1.26	0.95
1.26	1.26
1.38	0.19
1.38	0.98
1.38	1.17
1.51	0.06
1.51	1.00
1.51	1.06
1.63	-0.06
1.63	1.00
1.63	0.94
1.76	-0.19
1.76	0.98
1.76	0.79
1.88	-0.31
1.88	0.95
1.88	0.64
2.01	-0.43
2.01	0.90
2.01	0.48
2.14	-0.54
2.14	0.84
2.14	0.31
2.26	-0.64
2.26	0.77
2.26	0.13
2.39	-0.73
2.39	0.68
2.39	-0.04
2.51	-0.81
2.51	0.59
2.51	-0.22
2.64	-0.88
2.64	0.48
2.64	-0.39
2.76	-0.93
2.76	0.37
2.76	-0.56
2.89	-0.97
2.89	0.25
2.89	-0.72
3.02	-0.99
3.02	0.13
3.02	-0.87
3.14	-1.00
3.14	-0.00
3.14	-1.00
3.27	-0.99
3.27	-0.13
3.27	-1.12
3.39	-0.97
3.39	-0.25
3.39	-1.22
3.52	-0.93
3.52	-0.37
3.52	-1.30
3.64	-0.88
3.64	-0.48
3.64	-1.36
3.77	-0.81
3.77	-0.59
3.77	-1.40
3.90	-0.73
3.90	-0.68
3.90	-1.41
4.02	-0.64
4.02	-0.77
4.02	-1.41
4.15	-0.54
4.15	-0.84
4.15	-1.38
4.27	-0.43
4.27	-0.90
4.27	-1.33
4.40	-0.31
4.40	-0.95
4.40	-1.26
4.52	-0.19
4.52	-0.98
4.52	-1.17
4.65	-0.06
4.65	-1.00
4.65	-1.06
4.78	0.06
4.78	-1.00
4.78	-0.94
4.90	0.19
4.90	-0.98
4.90	-0.79
5.03	0.31
5.03	-0.95
5.03	-0.64
5.15	0.43
5.15	-0.90
5.15	-0.48
5.28	0.54
5.28	-0.84
5.28	-0.31
5.40	0.64
5.40	-0.77
5.40	-0.13
5.53	0.73
5.53	-0.68
5.53	0.04
5.65	0.81
5.65	-0.59
5.65	0.22
5.78	0.88
5.78	-0.48
5.78	0.39
5.91	0.93
5.91	-0.37
5.91	0.56
6.03	0.97
6.03	-0.25
6.03	0.72
6.16	0.99
6.16	-0.13
6.16	0.87
0.00	1.00
0.00	0.00
0.00	1.00
0.13	0.99
0.13	0.13
0.13	1.12
0.25	0.97
0.25	0.25
0.25	1.22
0.38	0.93
0.38	0.37
0.38	1.30
0.50	0.88
0.50	0.48
0.50	1.36
0.63	0.81
0.63	0.59
0.63	1.40
0.75	0.73
0.75	0.68
0.75	1.41
0.88	0.64
0.88	0.77
0.88	1.41
1.01	0.54
1.01	0.84
1.01	1.38
1.13	0.43
1.13	0.90
1.13	1.33
1.26	0.31
1.26	0.95
1.26	1.26
1.38	0.19
1.38	0.98
1.38	1.17
1.51	0.06
1.51	1.00
1.51	1.06
1.63	-0.06
1.63	1.00
1.63	0.94
1.76	-0.19
1.76	0.98
1.76	0.79
1.88	-0.31
1.88	0.95
1.88	0.64
2.01	-0.43
2.01	0.90
2.01	0.48
2.14	-0.54
2.14	0.84
2.14	0.31
2.26	-0.64
2.26	0.77
2.26	0.13
2.39	-0.73
2.39	0.68
2.39	-0.04
2.51	-0.81
2.51	0.59
2.51	-0.22
2.64	-0.88
2.64	0.48
2.64	-0.39
2.76	-0.93
2.76	0.37
2.76	-0.56
2.89	-0.97
2.89	0.25
2.89	-0.72
3.02	-0.99
3.02	0.13
3.02	-0.87
3.14	-1.00
3.14	-0.00
3.14	-1.00
3.27	-0.99
3.27	-0.13
3.27	-1.12
3.39	-0.97
3.39	-0.25
3.39	-1.22
3.52	-0.93
3.52	-0.37
3.52	-1.30
3.64	-0.88
3.64	-0.48
3.64	-1.36
3.77	-0.81
3.77	-0.59
3.77	-1.40
3.90	-0.73
3.90	-0.68
3.90	-1.41
4.02	-0.64
4.02	-0.77
4.02	-1.41
4.15	-0.54
4.15	-0.84
4.15	-1.38
4.27	-0.43
4.27	-0.90
4.27	-1.33
4.40	-0.31
4.40	-0.95
4.40	-1.26
4.52	-0.19
4.52	-0.98
4.52	-1.17
4.65	-0.06
4.65	-1.00
4.65	-1.06
4.78	0.06
4.78	-1.00
4.78	-0.94
4.90	0.19
4.90	-0.98
4.90	-0.79
5.03	0.31
5.03	-0.95
5.03	-0.64
5.15	0.43
5.15	-0.90
5.15	-0.48
5.28	0.54
5.28	-0.84
5.28	-0.31
5.40	0.64
5.40	-0.77
5.40	-0.13
5.53	0.73
5.53	-0.68
5.53	0.04
5.65	0.81
5.65	-0.59
5.65	0.22
5.78	0.88
5.78	-0.48
5.78	0.39
5.91	0.93
5.91	-0.37
5.91	0.56
6.03	0.97
6.03	-0.25
6.03	0.72
6.16	0.99
6.16	-0.13
6.16	0.87
