0.00	1.00
0.13	0.99
0.25	0.97
0.38	0.93
0.50	0.88
0.63	0.81
0.75	0.73
0.88	0.64
1.01	0.54
1.13	0.43
1.26	0.31
1.38	0.19
1.51	0.06
1.63	-0.06
1.76	-0.19
1.88	-0.31
2.01	-0.43
2.14	-0.54
2.26	-0.64
2.39	-0.73
2.51	-0.81
2.64	-0.88
2.76	-0.93
2.89	-0.97
3.02	-0.99
3.14	-1.00
3.27	-0.99
3.39	-0.97
3.52	-0.93
3.64	-0.88
3.77	-0.81
3.90	-0.73
4.02	-0.64
4.15	-0.54
4.27	-0.43
4.40	-0.31
4.52	-0.19
4.65	-0.06
4.78	0.06
4.90	0.19
5.03	0.31
5.15	0.43
5.28	0.54
5.40	0.64
5.53	0.73
5.65	0.81
5.78	0.88
5.91	0.93
6.03	0.97
6.16	0.99
